WorkClass,Education,MaritalStatus,Occupation,Salary,LessThen_50
Private,10th,Never-married,Other-service,<=50K,1
Private,Some-college,Married-spouse-absent,Handlers-cleaners,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,<=50K,1
Private,HS-grad,Divorced,Tech-support,<=50K,1
Private,Masters,Divorced,Prof-specialty,>50K,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,Bachelors,Separated,Prof-specialty,>50K,0
Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Private,HS-grad,Never-married,Other-service,<=50K,1
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,>50K,0
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,>50K,0
Private,Assoc-voc,Separated,Exec-managerial,<=50K,1
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Private,Some-college,Married-civ-spouse,Exec-managerial,<=50K,1
Private,HS-grad,Never-married,Transport-moving,<=50K,1
Local-gov,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,<=50K,1
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,<=50K,1
Private,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Local-gov,Masters,Never-married,Prof-specialty,<=50K,1
Self-emp-not-inc,HS-grad,Never-married,Craft-repair,<=50K,1
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Divorced,Exec-managerial,>50K,0
Private,Some-college,Separated,Craft-repair,>50K,0
Private,7th-8th,Married-civ-spouse,Craft-repair,<=50K,1
Federal-gov,Some-college,Married-civ-spouse,Tech-support,>50K,0
Private,Bachelors,Married-civ-spouse,Tech-support,>50K,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
State-gov,HS-grad,Married-civ-spouse,Protective-serv,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Widowed,Sales,<=50K,1
Private,5th-6th,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Divorced,Exec-managerial,<=50K,1
Private,Bachelors,Never-married,Prof-specialty,>50K,0
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Local-gov,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Widowed,Adm-clerical,<=50K,1
Private,Masters,Never-married,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,12th,Never-married,Handlers-cleaners,<=50K,1
Private,Some-college,Never-married,Prof-specialty,<=50K,1
?,Bachelors,Married-civ-spouse,?,<=50K,1
Private,HS-grad,Divorced,Machine-op-inspct,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,Some-college,Never-married,Handlers-cleaners,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,<=50K,1
Private,12th,Never-married,Adm-clerical,<=50K,1
Private,1st-4th,Widowed,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Prof-school,Separated,Tech-support,>50K,0
Private,Some-college,Married-civ-spouse,Tech-support,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Self-emp-not-inc,Some-college,Widowed,Craft-repair,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,1st-4th,Married-civ-spouse,Craft-repair,<=50K,1
?,Bachelors,Never-married,?,<=50K,1
Private,7th-8th,Never-married,Other-service,>50K,0
Private,9th,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,>50K,0
?,HS-grad,Divorced,?,<=50K,1
Private,Some-college,Never-married,Craft-repair,<=50K,1
Private,Some-college,Divorced,Priv-house-serv,<=50K,1
Local-gov,Bachelors,Divorced,Exec-managerial,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Self-emp-not-inc,9th,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Bachelors,Never-married,Tech-support,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,11th,Never-married,Sales,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Private,11th,Divorced,Handlers-cleaners,<=50K,1
Private,Some-college,Married-civ-spouse,Tech-support,>50K,0
Private,10th,Widowed,Handlers-cleaners,<=50K,1
Private,HS-grad,Divorced,Adm-clerical,<=50K,1
Federal-gov,HS-grad,Never-married,Other-service,<=50K,1
Private,Assoc-acdm,Never-married,Sales,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
?,7th-8th,Separated,?,<=50K,1
Private,9th,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Divorced,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Local-gov,5th-6th,Married-civ-spouse,Other-service,<=50K,1
Private,10th,Never-married,Handlers-cleaners,<=50K,1
State-gov,Some-college,Married-civ-spouse,Protective-serv,<=50K,1
Private,Some-college,Married-civ-spouse,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
?,7th-8th,Never-married,?,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,<=50K,1
Private,HS-grad,Divorced,Other-service,<=50K,1
Private,Doctorate,Married-civ-spouse,Exec-managerial,>50K,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Private,Bachelors,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Bachelors,Never-married,Sales,<=50K,1
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,<=50K,1
?,Bachelors,Never-married,?,<=50K,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,>50K,0
Local-gov,Masters,Married-civ-spouse,Protective-serv,>50K,0
?,Some-college,Never-married,?,<=50K,1
Private,11th,Married-civ-spouse,Farming-fishing,<=50K,1
Private,Prof-school,Divorced,Exec-managerial,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,<=50K,1
State-gov,Some-college,Never-married,Tech-support,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Assoc-acdm,Divorced,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Separated,Tech-support,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Adm-clerical,>50K,0
Private,Some-college,Separated,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Private,Assoc-acdm,Divorced,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Married-civ-spouse,Other-service,>50K,0
Self-emp-inc,Some-college,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,<=50K,1
Self-emp-not-inc,Assoc-acdm,Never-married,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Divorced,Adm-clerical,<=50K,1
Private,11th,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Private,Some-college,Divorced,Other-service,<=50K,1
Private,HS-grad,Divorced,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Divorced,Sales,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,Some-college,Never-married,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Protective-serv,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Masters,Married-civ-spouse,Tech-support,>50K,0
Private,Some-college,Widowed,Exec-managerial,<=50K,1
?,HS-grad,Married-civ-spouse,?,>50K,0
Self-emp-not-inc,Some-college,Divorced,Craft-repair,<=50K,1
Private,Masters,Widowed,Prof-specialty,<=50K,1
Federal-gov,Some-college,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Private,HS-grad,Never-married,Sales,<=50K,1
Private,HS-grad,Divorced,Craft-repair,>50K,0
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,10th,Never-married,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,Assoc-acdm,Married-civ-spouse,Sales,<=50K,1
?,7th-8th,Separated,?,<=50K,1
Private,Bachelors,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,HS-grad,Never-married,Exec-managerial,<=50K,1
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,<=50K,1
Local-gov,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Masters,Married-civ-spouse,Sales,<=50K,1
Private,Some-college,Divorced,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Private,1st-4th,Married-spouse-absent,Other-service,<=50K,1
Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Self-emp-not-inc,Some-college,Never-married,Prof-specialty,<=50K,1
Self-emp-not-inc,Some-college,Never-married,Farming-fishing,<=50K,1
State-gov,Some-college,Married-civ-spouse,Farming-fishing,<=50K,1
Local-gov,Assoc-acdm,Widowed,Prof-specialty,<=50K,1
Local-gov,Masters,Never-married,Prof-specialty,<=50K,1
Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,<=50K,1
Local-gov,Some-college,Divorced,Protective-serv,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
?,Some-college,Never-married,?,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,>50K,0
State-gov,Some-college,Married-civ-spouse,Machine-op-inspct,>50K,0
Federal-gov,10th,Separated,Craft-repair,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,7th-8th,Married-civ-spouse,Handlers-cleaners,<=50K,1
?,HS-grad,Divorced,?,<=50K,1
Private,Some-college,Never-married,Tech-support,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,>50K,0
?,HS-grad,Married-civ-spouse,?,<=50K,1
Private,Some-college,Never-married,Exec-managerial,<=50K,1
Local-gov,Some-college,Married-civ-spouse,Tech-support,>50K,0
Private,Bachelors,Married-civ-spouse,Sales,>50K,0
Private,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Assoc-acdm,Never-married,Other-service,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Never-married,Exec-managerial,<=50K,1
Private,Some-college,Married-civ-spouse,Transport-moving,>50K,0
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,<=50K,1
Private,Assoc-acdm,Divorced,Prof-specialty,<=50K,1
Private,9th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Some-college,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Bachelors,Never-married,Other-service,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Private,Preschool,Married-spouse-absent,Machine-op-inspct,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Local-gov,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Private,Some-college,Married-civ-spouse,Transport-moving,<=50K,1
?,HS-grad,Married-civ-spouse,?,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,<=50K,1
?,7th-8th,Widowed,?,<=50K,1
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Never-married,Sales,<=50K,1
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Private,Bachelors,Never-married,Adm-clerical,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,Bachelors,Never-married,Sales,<=50K,1
Local-gov,HS-grad,Separated,Protective-serv,<=50K,1
Federal-gov,Masters,Married-civ-spouse,Adm-clerical,>50K,0
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,Bachelors,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,7th-8th,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,HS-grad,Separated,Exec-managerial,<=50K,1
Private,HS-grad,Married-spouse-absent,Adm-clerical,<=50K,1
State-gov,Doctorate,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Local-gov,Assoc-voc,Never-married,Protective-serv,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Transport-moving,<=50K,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Married-spouse-absent,Sales,<=50K,1
Private,Some-college,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Tech-support,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Private,Assoc-voc,Divorced,Other-service,<=50K,1
?,Some-college,Divorced,?,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Private,HS-grad,Divorced,Machine-op-inspct,<=50K,1
Private,Some-college,Divorced,Machine-op-inspct,<=50K,1
Private,10th,Never-married,Tech-support,<=50K,1
Private,HS-grad,Divorced,Other-service,<=50K,1
Private,Bachelors,Divorced,Prof-specialty,<=50K,1
Private,Some-college,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,Bachelors,Divorced,Prof-specialty,<=50K,1
Private,Some-college,Never-married,Protective-serv,<=50K,1
Private,Assoc-voc,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,7th-8th,Never-married,Machine-op-inspct,<=50K,1
Local-gov,Bachelors,Never-married,Prof-specialty,>50K,0
Private,HS-grad,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Prof-school,Divorced,Adm-clerical,<=50K,1
Private,12th,Never-married,Sales,<=50K,1
?,Some-college,Never-married,?,<=50K,1
Private,10th,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Self-emp-not-inc,11th,Never-married,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Self-emp-not-inc,10th,Divorced,Sales,<=50K,1
?,9th,Never-married,?,<=50K,1
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Adm-clerical,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
?,Prof-school,Married-civ-spouse,?,>50K,0
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,>50K,0
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Federal-gov,Bachelors,Never-married,Exec-managerial,<=50K,1
Private,Some-college,Never-married,Exec-managerial,<=50K,1
Private,HS-grad,Divorced,Priv-house-serv,<=50K,1
Private,HS-grad,Married-civ-spouse,Tech-support,>50K,0
Private,Bachelors,Married-civ-spouse,Sales,>50K,0
Private,Bachelors,Never-married,Handlers-cleaners,<=50K,1
Federal-gov,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Never-married,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Local-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,>50K,0
Private,7th-8th,Never-married,Farming-fishing,<=50K,1
Private,Bachelors,Separated,Prof-specialty,>50K,0
Private,Assoc-voc,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Prof-school,Separated,Prof-specialty,>50K,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Divorced,Exec-managerial,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,>50K,0
?,Some-college,Never-married,?,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Divorced,Adm-clerical,<=50K,1
?,Some-college,Married-civ-spouse,?,>50K,0
Self-emp-not-inc,HS-grad,Never-married,Sales,<=50K,1
Private,11th,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
?,Some-college,Married-civ-spouse,?,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,<=50K,1
State-gov,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Divorced,Other-service,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Private,7th-8th,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Some-college,Never-married,Sales,<=50K,1
Private,Some-college,Separated,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Never-married,Handlers-cleaners,<=50K,1
Private,10th,Divorced,Other-service,<=50K,1
State-gov,Some-college,Married-civ-spouse,Craft-repair,>50K,0
?,11th,Divorced,?,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Bachelors,Separated,Exec-managerial,<=50K,1
Private,HS-grad,Divorced,Other-service,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Private,Bachelors,Never-married,Sales,<=50K,1
Private,Bachelors,Divorced,Prof-specialty,>50K,0
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Divorced,Prof-specialty,<=50K,1
Self-emp-inc,Some-college,Never-married,Sales,<=50K,1
Private,11th,Separated,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Widowed,Adm-clerical,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,<=50K,1
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,>50K,0
Private,Doctorate,Divorced,Craft-repair,>50K,0
Private,Some-college,Never-married,Craft-repair,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Assoc-voc,Never-married,Prof-specialty,<=50K,1
Self-emp-not-inc,HS-grad,Married-AF-spouse,Craft-repair,<=50K,1
Self-emp-not-inc,Masters,Divorced,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Never-married,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Prof-specialty,<=50K,1
Federal-gov,Bachelors,Married-civ-spouse,Sales,>50K,0
Private,7th-8th,Married-civ-spouse,Transport-moving,<=50K,1
?,HS-grad,Married-civ-spouse,?,<=50K,1
Private,Assoc-acdm,Divorced,Prof-specialty,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,>50K,0
Private,9th,Married-civ-spouse,Craft-repair,<=50K,1
?,HS-grad,Married-civ-spouse,?,<=50K,1
Federal-gov,11th,Never-married,Sales,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,9th,Divorced,Machine-op-inspct,<=50K,1
Self-emp-not-inc,Some-college,Never-married,Adm-clerical,<=50K,1
Private,7th-8th,Never-married,Other-service,<=50K,1
Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Married-civ-spouse,Machine-op-inspct,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,Bachelors,Divorced,Sales,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,>50K,0
?,5th-6th,Married-civ-spouse,?,>50K,0
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,11th,Never-married,Handlers-cleaners,<=50K,1
Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Other-service,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Sales,<=50K,1
State-gov,HS-grad,Married-civ-spouse,Protective-serv,>50K,0
State-gov,Masters,Never-married,Prof-specialty,<=50K,1
Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,<=50K,1
State-gov,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Divorced,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,Preschool,Never-married,Farming-fishing,<=50K,1
Private,Prof-school,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,Masters,Married-civ-spouse,Sales,>50K,0
?,HS-grad,Divorced,?,<=50K,1
Private,Assoc-voc,Divorced,Machine-op-inspct,<=50K,1
Private,Assoc-voc,Divorced,Exec-managerial,<=50K,1
?,Preschool,Married-civ-spouse,?,<=50K,1
Federal-gov,Bachelors,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Divorced,Transport-moving,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Divorced,Machine-op-inspct,<=50K,1
State-gov,10th,Never-married,Farming-fishing,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
?,Preschool,Married-spouse-absent,?,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
?,12th,Never-married,?,<=50K,1
Private,Some-college,Divorced,Handlers-cleaners,<=50K,1
?,Some-college,Divorced,?,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,>50K,0
Local-gov,Some-college,Divorced,Adm-clerical,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Federal-gov,Some-college,Divorced,Adm-clerical,<=50K,1
Private,11th,Divorced,Handlers-cleaners,<=50K,1
Private,12th,Divorced,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Never-married,Sales,<=50K,1
Private,7th-8th,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Prof-specialty,>50K,0
Private,Assoc-voc,Never-married,Handlers-cleaners,<=50K,1
Private,HS-grad,Separated,Other-service,<=50K,1
Self-emp-not-inc,Bachelors,Separated,Craft-repair,<=50K,1
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Private,Bachelors,Divorced,Exec-managerial,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,>50K,0
Private,10th,Married-civ-spouse,Machine-op-inspct,<=50K,1
